raw_event,sample_count,phase,anchor,seconds_from_anchor
"Cycle 16 Visit 2 (Day 1 Week 52)",4692,ON_TREATMENT,CYCLE_16,0
"Study Drug Discontinuation Visit",4691,END_OF_TREATMENT,,
"C12D1",4662,ON_TREATMENT,CYCLE_12,0
"Visit 25 Week 142",4625,ON_TREATMENT,BASELINE,85881600
"Day 35",4586,ON_TREATMENT,BASELINE,3024000
"Week 3 Day 15",4583,ON_TREATMENT,BASELINE,1814400
"Visit 10",4581,ON_TREATMENT,,
"Visit 23 Week 118",4567,ON_TREATMENT,BASELINE,71366400
"Enrollment",4564,BASELINE,BASELINE,0
"W208",4558,ON_TREATMENT,BASELINE,125798400
"WK38V13",4546,ON_TREATMENT,BASELINE,22982400
"FOLLOW-UP",4542,FOLLOW_UP,,
"DBT Week 72",4539,ON_TREATMENT,BASELINE,43545600
"Cycle 3 Day 15",4534,ON_TREATMENT,CYCLE_3,1209600
"W156",4507,ON_TREATMENT,BASELINE,94348800
"Day 1 Visit 3",4480,ON_TREATMENT,BASELINE,86400
"TOC4129g",4472,,,
"Visit 14 Week 12",4466,ON_TREATMENT,BASELINE,7257600
"DAY28",4463,ON_TREATMENT,BASELINE,2419200
"Follow-Up",4459,FOLLOW_UP,,
"Week 52 Day 364",4456,ON_TREATMENT,BASELINE,31449600
"W40",4455,ON_TREATMENT,BASELINE,24192000
"RT 2 DAY 1",4400,ON_TREATMENT,CYCLE_2,0
"Neoadjuvant Cycle 2 Day 1",4352,ON_TREATMENT,CYCLE_2,0
"Screening or Baseline",4343,SCREENING,SCREENING,0
"24 Months",4336,ON_TREATMENT,BASELINE,62208000
"C1D22",4335,ON_TREATMENT,CYCLE_1,1814400
"Week 1 Visit 3",4321,ON_TREATMENT,BASELINE,604800
"Visit 6 Day 1",4312,ON_TREATMENT,,
"Treatment Discont / Completion",4304,ON_TREATMENT,,
"STUDY COMPLETION",4274,END_OF_TREATMENT,,
"Week 56",4270,ON_TREATMENT,BASELINE,33868800
"C7D1",4257,ON_TREATMENT,CYCLE_7,0
"Week 108",4225,ON_TREATMENT,BASELINE,65318400
"WK10V6",4210,ON_TREATMENT,BASELINE,6048000
"ENDOFSTUDY",4210,END_OF_TREATMENT,,
"Visit 37 Week 286",4191,ON_TREATMENT,BASELINE,172972800
"Period 1",4173,ON_TREATMENT,,
"Cycle 1 Day 4",4171,ON_TREATMENT,CYCLE_1,259200
"Day 0",4157,BASELINE,BASELINE,0
"W26",4127,ON_TREATMENT,BASELINE,15724800
"Discontinuation",4122,END_OF_TREATMENT,,
"Week 12 Visit 6",4101,ON_TREATMENT,BASELINE,7257600
"C03",4098,ON_TREATMENT,CYCLE_3,0
"W2",4091,ON_TREATMENT,BASELINE,1209600
"Week 168",4086,ON_TREATMENT,BASELINE,101606400
"V11",4079,ON_TREATMENT,,
"W48",4075,ON_TREATMENT,BASELINE,29030400
"W38",4072,ON_TREATMENT,BASELINE,22982400
"D169",4071,ON_TREATMENT,BASELINE,14601600
"Week 12 Day 85",4065,ON_TREATMENT,BASELINE,7257600
"WEEK 72",4063,ON_TREATMENT,BASELINE,43545600
"Day 71",4060,ON_TREATMENT,BASELINE,6134400
"Visit 5",4059,ON_TREATMENT,,
"Week 56 Day 393",4048,ON_TREATMENT,BASELINE,33868800
"C1D1 Atezo + Cabo",4045,ON_TREATMENT,CYCLE_1,0
"Baseline 1st LP",4028,BASELINE,BASELINE,0
"Day 9",4000,ON_TREATMENT,BASELINE,777600
"RAND",3940,BASELINE,BASELINE,0
"W8",3940,ON_TREATMENT,BASELINE,4838400
"W78",3916,ON_TREATMENT,BASELINE,47174400
"C12",3904,ON_TREATMENT,CYCLE_12,0
"CYCLE2_DAY1",3851,ON_TREATMENT,CYCLE_2,0
"C2D1B",3847,ON_TREATMENT,CYCLE_2,0
"Week 52 Visit 28 Discontinuation",3817,END_OF_TREATMENT,,
"Surgical Visit",3808,,,
"STUDY.TERMINATION",3804,,,
"DAY 71",3803,ON_TREATMENT,BASELINE,6134400
"Q8W Week 49",3801,ON_TREATMENT,BASELINE,29635200
"WK64",3762,ON_TREATMENT,BASELINE,38707200
"WEEK 52",3751,ON_TREATMENT,BASELINE,31449600
"T0",3750,,,
"Cycle 24 Day 1",3739,ON_TREATMENT,CYCLE_24,0
"C2D1 Atezo + Cabo",3733,ON_TREATMENT,CYCLE_2,0
"Week 2 Day 14",3730,ON_TREATMENT,BASELINE,1209600
"W130",3710,ON_TREATMENT,BASELINE,78624000
"W72",3702,ON_TREATMENT,BASELINE,43545600
"W5",3689,ON_TREATMENT,BASELINE,3024000
"Cycle 1 Day 9",3661,ON_TREATMENT,CYCLE_1,691200
"C1D15B",3642,ON_TREATMENT,CYCLE_1,1209600
"Cycle 18 Day 1",3617,ON_TREATMENT,CYCLE_18,0
"Weerk 4 Day 28",3584,,,
"Visit 2 Week 1 Baseline",3582,BASELINE,BASELINE,0
"W28",3574,ON_TREATMENT,BASELINE,16934400
